"L","B"
0.014437601,0.016047996
0.016022985,0.01855238
0.061343736,0.045259584
0.067662094,0.047907255
0.077922724,0.068322349
0.078295033,0.065799275
0.11650868,0.066310119
0.11665632,0.071412335
0.205862016,0.100156688
0.208061106,0.095029553
0.229164738,0.138806442
0.278064192,0.151876588
0.281775038,0.128720376
0.365766742,0.159856977
0.370844906,0.154711152
0.381992714,0.198575259
0.459956209,0.185835293
0.48123855,0.1832873
0.729008908,0.258493591
0.737882329,0.271426681
0.857406498,0.315483911
0.955786516,0.351766337
0.971427559,0.341431078
1.336819523,0.465834195
1.337990041,0.421839262
2.646613468,0.766572141
2.666933974,0.683703181
2.893922078,0.694100738
2.936837732,0.616408752
4.92738597,0.808274503
5.10260092,0.97408718
9.490982701,0.642592652
9.914455544,1.007946208
10.09922562,0.958718233
10.42394198,0.707382697
19.10477261,1.059865462
19.79588665,1.031364072
21.83434945,0.91476068
26.25818466,0.834439713
36.35870368,0.922566634
46.60702338,1.041786547
62.33845662,1.212838496
