[egf]	24k	43k	92k	120k	231k	447k	20K	46K	187K	256K	1200K	12k	82k	107k	387k	502k	1600k
0.007969457	0.04603855																
0.01499326	0.07301927																
0.03099519	0.1115632																
0.06109528	0.1925054																
0.09514861	0.2426124																
0.1439648	0.3466809																
0.243969	0.4411135																
0.3945051	0.5066381																
0.686923	0.7147752																
1.079399	0.8130621																
1.847583	0.8535332																
2.618645	0.8901499																
4.197115	0.8997859																
8.121298	0.9460385																
16.013240	0.9961456																
0.008435078		0.03062099															
0.01632461		0.05952891															
0.03219274		0.09614561															
0.06589953		0.1732334															
0.09789267		0.2310493															
0.1495181		0.337045															
0.2533132		0.4565311															
0.3979881		0.5683084															
0.6938425		0.6588865															
1.831155		0.8053533															
2.570049		0.8766595															
5.068029		0.9171307															
8.196809		0.9633833															
0.01047828			0.04411135														
0.043951			0.1038544														
0.06717546			0.1443255														
0.159764			0.3158458														
0.2757842			0.4507495														
0.4673179			0.5528908														
0.8378847			0.6685225														
1.341291			0.7957174														
2.295071			0.8689507														
3.222072			0.9132763														
5.068438			0.9094219														
9.992324			0.9730192														
16.322630			0.9710921														
0.06716596				0.1578158													
0.04394744				0.1115632													
0.142679				0.3023555													
0.237226				0.4141328													
0.3870431				0.5278373													
0.4670442				0.6087794													
1.080119				0.7494647													
1.830193				0.8554604													
2.595465				0.8381156													
4.079464				0.9113491													
8.197306				0.9576017													
16.173890				0.9441114													
0.02105896				0.07301927													
0.06170198					0.1501071												
0.09792828					0.1963597												
0.142702					0.2869379												
0.244107					0.3871521												
0.3909656					0.466167												
0.7009451					0.5875803												
1.090977					0.6955032												
1.849451					0.7571734												
2.621134					0.7995718												
5.115771					0.9229122												
8.046807					0.9248394												
0.02985244					0.09421842												
0.007675014						0.03640257											
0.0149975						0.04603855											
0.02957265						0.09229122											
0.06112121						0.1520343											
0.09699085						0.2137045											
0.1440871						0.2657388											
0.2487781						0.3794433											
0.3946247						0.4777302											
0.687951						0.5721628											
1.177004						0.6569593											
1.832599						0.7301927											
2.572647						0.7802998											
4.082598						0.8381156											
8.050874						0.8766595											
16.019070						0.9614561											
0.01713749							0.04267487										
0.03444448							0.07219977										
0.07655431							0.1823194										
0.1450889							0.308810										
0.251269							0.3939354										
0.4142728							0.538879										
0.7255647							0.7396108										
1.060153							0.7791709										
1.819164							0.9324073										
2.552526							0.914133										
4.121284							0.9702964										
6.136859							0.9190478										
8.368795							1.026665										
12.344850							1.024950										
0.01030568								0.02364097									
0.01970488								0.04692846									
0.03960827								0.08471032									
0.0804407								0.1534647									
0.1199321								0.2157494									
0.1586307								0.2655414									
0.2536876								0.3588522									
0.4057291								0.4573236									
0.7248352								0.6487842									
1.048583								0.6883354									
1.797912								0.7713876									
2.603329								0.8935084									
4.117893								0.8959837									
8.363058								0.9647381									
12.465670								1.004316									
0.01040797									0.01539294								
0.02198537									0.03464131								
0.02429037									0.03679492								
0.08121683									0.1204458								
0.1198718									0.1703361								
0.1601539									0.228394								
0.2509992									0.296916								
0.405474									0.400557								
0.7383156									0.5125622								
1.027509									0.6552897								
1.798446									0.7982227								
2.550251									0.8336276								
4.116105									0.8567631								
8.277838									0.9399583								
12.587670									0.9836827								
0.01836968										0.01177382							
0.02878571										0.06791044							
0.06082663										0.1181224							
0.1152153										0.193007							
0.2055712										0.2699022							
0.3524264										0.3405689							
0.6354886										0.4711433							
0.9669508										0.5706022							
1.675933										0.727976							
2.448160										0.7448295							
4.034029										0.8381671							
6.195363										0.8757077							
8.192737										0.9069215							
12.450580										0.8949114							
0.0129597											0.01352529						
0.02792615											0.0307273						
0.05668559											0.05200417						
0.08792646											0.08748945						
0.131057											0.1250032						
0.2224728											0.203918						
0.3629502											0.2972467						
0.654465											0.4278211						
1.005847											0.5314174						
1.760088											0.6516438						
2.521322											0.7035714						
4.067926											0.6936792						
8.354267											0.869783						
16.147750											0.9715206						
0.01631733												0.06402513					
0.033773												0.1197595					
0.0684047												0.1755009					
0.08990054												0.2470541					
0.1651807												0.3028271					
0.2820976												0.4325044					
0.4317393												0.5241575					
0.7783454												0.6538173					
1.068384												0.729834					
1.805680												0.8707087					
2.669588												0.9041641					
4.307405												0.9599792					
6.418342												0.9105962					
8.512644												0.9351316					
12.848460												0.9417145					
0.01611945													0.02596938				
0.0352023													0.06825354				
0.07328256													0.1340607				
0.1430707													0.2211573				
0.2428421													0.3306873				
0.3778524													0.4301709				
0.7089943													0.6180266				
1.036456													0.7891722				
1.893233													0.8326337				
4.393878													0.910719				
6.403579													0.996791				
8.504394													0.9082662				
14.243820													0.9483975				
0.01121893														0.03392266			
0.01876152														0.0315172			
0.03576567														0.05817377			
0.06713437														0.106104			
0.1268582														0.1887336			
0.2260013														0.2892927			
0.3692507														0.3921187			
0.6665512														0.5575989			
1.010532														0.6873148			
1.779753														0.7699671			
2.587404														0.9377563			
6.364634														0.9777631			
8.483119														0.988864			
12.654250														0.9697045			
0.01298098															0.02603956		
0.03155812															0.04030389		
0.05824695															0.07144854		
0.07851144															0.09373984		
0.1483385															0.1730112		
0.2435003															0.2556864		
0.4066816															0.3674605		
0.713275															0.4848157		
0.9846593															0.5686665		
1.766929															0.7195963		
2.575723															0.8123847		
4.142375															0.9275292		
6.479044															0.871414		
8.427099															0.9552841		
12.688550															0.8947037		
0.01139433																0.01376838	
0.02329193																0.02473068	
0.05030183																0.05806323	
0.09862252																0.1126958	
0.1754717																0.1774344	
0.2975856																0.2634572	
0.5573692																0.4009404	
0.8266705																0.5228276	
1.522772																0.6491222	
2.283661																0.7777222	
3.910003																0.827921	
6.106213																0.8792691	
9.179923																0.9261519	
14.138340																0.8924298	
0.01022551																	0.01492286
0.01719304																	0.01251565
0.03690022																	0.02346215
0.05108001																	0.03343139
0.09635406																	0.0679272
0.1713248																	0.1147556
0.2796241																	0.1884774
0.4929926																	0.3002339
0.6729095																	0.3706555
1.361332																	0.5439346
1.965876																	0.6759051
3.560756																	0.785414
5.559898																	0.8322845
7.705445																	0.874716
12.271130																	0.8678488
