[egf],14k,42k,65k,112k,200k,263k
0.01149396,0.02205128,,,,,
0.02231178,0.02820513,,,,,
0.04332757,0.04461538,,,,,
0.08496879,0.05897436,,,,,
0.15861,0.0774359,,,,,
0.2602331,0.08564103,,,,,
0.4195884,0.1574359,,,,,
0.7392664,0.2189744,,,,,
1.10014,0.2641026,,,,,
1.921572,0.3584615,,,,,
2.671042,0.4323077,,,,,
4.231597,0.5635898,,,,,
6.49394,0.6374359,,,,,
8.682362,0.7297436,,,,,
0.02001805,,0.03846154,,,,
0.08175179,,0.08564103,,,,
0.1540874,,0.09794872,,,,
0.2457726,,0.1451282,,,,
0.403518,,0.1717949,,,,
0.7182965,,0.2435897,,,,
1.049342,,0.3235897,,,,
1.8522,,0.434359,,,,
2.65341,,0.5205128,,,,
4.243533,,0.6394872,,,,
6.536097,,0.8117949,,,,
8.458586,,0.8261539,,,,
12.93642,,0.8076923,,,,
0.01976403,,,0.04831846,,,
0.03986058,,,0.05815823,,,
0.08115938,,,0.09876159,,,
0.15274,,,0.1106938,,,
0.2525796,,,0.1924463,,,
0.3937537,,,0.2496185,,,
0.691015,,,0.3190281,,,
1.066542,,,0.3844113,,,
1.834205,,,0.4928073,,,
2.564015,,,0.5767109,,,
4.156074,,,0.6769369,,,
6.167444,,,0.7238819,,,
8.209081,,,0.7749941,,,
12.41944,,,0.8588508,,,
0.01922938,,,,0.02205128,,
0.03772468,,,,0.04666667,,
0.07778719,,,,0.07948718,,
0.1424777,,,,0.1205128,,
0.2412862,,,,0.1820513,,
0.3962728,,,,0.2169231,,
0.7127405,,,,0.3010256,,
1.052702,,,,0.4097436,,
1.803913,,,,0.5225641,,
2.611527,,,,0.6251282,,
4.256475,,,,0.7215385,,
6.463362,,,,0.7769231,,
8.451506,,,,0.8035898,,
12.57425,,,,0.8425641,,
0.01849429,,,,,0.03846154,
0.07261955,,,,,0.09384616,
0.1398876,,,,,0.1594872,
0.2392377,,,,,0.2189744,
0.3894541,,,,,0.2825641,
0.694265,,,,,0.3933334,
1.05543,,,,,0.4794872,
1.828523,,,,,0.6210256,
2.667993,,,,,0.6682051,
4.263285,,,,,0.7646154,
6.347795,,,,,0.8241026,
8.828998,,,,,0.914359,
12.86864,,,,,0.9328205,
0.01742278,,,,,,0.03025641
0.03418566,,,,,,0.05897436
0.07053278,,,,,,0.1082051
0.1358678,,,,,,0.1738462
0.2346562,,,,,,0.2312821
0.3860301,,,,,,0.311282
0.6810213,,,,,,0.4076923
1.03719,,,,,,0.5430769
1.830334,,,,,,0.6476923
2.648566,,,,,,0.7379487
4.142668,,,,,,0.7912821
8.655963,,,,,,0.914359
12.84906,,,,,,0.8917949
