[egf],12k,82k,107k,387k,502k,1600k
0.01631733,0.06402513,,,,,
0.033773,0.1197595,,,,,
0.0684047,0.1755009,,,,,
0.08990054,0.2470541,,,,,
0.1651807,0.3028271,,,,,
0.2820976,0.4325044,,,,,
0.4317393,0.5241575,,,,,
0.7783454,0.6538173,,,,,
1.068384,0.729834,,,,,
1.80568,0.8707087,,,,,
2.669588,0.9041641,,,,,
4.307405,0.9599792,,,,,
6.418342,0.9105962,,,,,
8.512644,0.9351316,,,,,
12.84846,0.9417145,,,,,
0.01611945,,0.02596938,,,,
0.0352023,,0.06825354,,,,
0.07328256,,0.1340607,,,,
0.1430707,,0.2211573,,,,
0.2428421,,0.3306873,,,,
0.3778524,,0.4301709,,,,
0.7089943,,0.6180266,,,,
1.036456,,0.7891722,,,,
1.893233,,0.8326337,,,,
4.393878,,0.910719,,,,
6.403579,,0.996791,,,,
8.504394,,0.9082662,,,,
14.24382,,0.9483975,,,,
0.01121893,,,0.03392266,,,
0.01876152,,,0.0315172,,,
0.03576567,,,0.05817377,,,
0.06713437,,,0.106104,,,
0.1268582,,,0.1887336,,,
0.2260013,,,0.2892927,,,
0.3692507,,,0.3921187,,,
0.6665512,,,0.5575989,,,
1.010532,,,0.6873148,,,
1.779753,,,0.7699671,,,
2.587404,,,0.9377563,,,
6.364634,,,0.9777631,,,
8.483119,,,0.988864,,,
12.65425,,,0.9697045,,,
0.01298098,,,,0.02603956,,
0.03155812,,,,0.04030389,,
0.05824695,,,,0.07144854,,
0.07851144,,,,0.09373984,,
0.1483385,,,,0.1730112,,
0.2435003,,,,0.2556864,,
0.4066816,,,,0.3674605,,
0.713275,,,,0.4848157,,
0.9846593,,,,0.5686665,,
1.766929,,,,0.7195963,,
2.575723,,,,0.8123847,,
4.142375,,,,0.9275292,,
6.479044,,,,0.871414,,
8.427099,,,,0.9552841,,
12.68855,,,,0.8947037,,
0.01139433,,,,,0.01376838,
0.02329193,,,,,0.02473068,
0.05030183,,,,,0.05806323,
0.09862252,,,,,0.1126958,
0.1754717,,,,,0.1774344,
0.2975856,,,,,0.2634572,
0.5573692,,,,,0.4009404,
0.8266705,,,,,0.5228276,
1.522772,,,,,0.6491222,
2.283661,,,,,0.7777222,
3.910003,,,,,0.827921,
6.106213,,,,,0.8792691,
9.179923,,,,,0.9261519,
14.13834,,,,,0.8924298,
0.01022551,,,,,,0.01492286
0.01719304,,,,,,0.01251565
0.03690022,,,,,,0.02346215
0.05108001,,,,,,0.03343139
0.09635406,,,,,,0.0679272
0.1713248,,,,,,0.1147556
0.2796241,,,,,,0.1884774
0.4929926,,,,,,0.3002339
0.6729095,,,,,,0.3706555
1.361332,,,,,,0.5439346
1.965876,,,,,,0.6759051
3.560756,,,,,,0.785414
5.559898,,,,,,0.8322845
7.705445,,,,,,0.874716
12.27113,,,,,,0.8678488
