[estr],0.3mM,0.8mM,3.0mM,4.8mM
0.03002531,0.09535483,,,
0.05414923,0.1921775,,,
0.08491308,0.2615503,,,
0.1243586,0.3343618,,,
0.1359813,0.3832913,,,
0.2705885,0.6186316,,,
0.4333251,0.7400194,,,
0.6392255,0.7584705,,,
0.715365,0.8511664,,,
0.03705484,,0.0725238,,
0.07652742,,0.1476326,,
0.1059345,,0.2278377,,
0.1464332,,0.3030629,,
0.1930374,,0.4160829,,
0.4863289,,0.7211034,,
0.8361225,,0.8619265,,
1.209846,,0.8742651,,
0.09611064,,,0.09577676,
0.1492741,,,0.1373545,
0.1835912,,,0.18266,
0.2667884,,,0.2777132,
0.4868898,,,0.5200989,
0.7462797,,,0.753242,
1.256256,,,0.8609773,
0.0767186,,,,0.03009107
0.121939,,,,0.063657
0.1575858,,,,0.09595659
0.1881504,,,,0.123244
0.2200783,,,,0.1421965
0.4010341,,,,0.2858801
0.576927,,,,0.3985356
0.6908549,,,,0.5421144
1.225831,,,,0.7861081
