[estr],0.3mM,0.8mM,3.0mM,4.8mM
0.07034701,0.2176827,,,
0.05767686,0.1655575,,,
0.147136,0.3834461,,,
0.1677368,0.3859165,,,
0.2672809,0.5497035,,,
0.4169495,0.6878396,,,
0.4470739,0.5827656,,,
0.6774187,0.7728623,,,
1.031542,0.8830417,,,
2.117658,0.9940447,,,
4.675545,0.8615081,,,
0.03002531,0.09535483,,,
0.05414923,0.1921775,,,
0.08491308,0.2615503,,,
0.1243586,0.3343618,,,
0.1359813,0.3832913,,,
0.2705885,0.6186316,,,
0.4333251,0.7400194,,,
0.6392255,0.7584705,,,
0.715365,0.8511664,,,
0.04286203,,0.09358155,,
0.0957092,,0.1958249,,
0.1081079,,0.2352277,,
0.1758752,,0.3867399,,
0.1949384,,0.4078309,,
0.48252,,0.8255588,,
0.8682368,,0.9819501,,
1.301545,,1.005079,,
1.827855,,1.00687,,
5.638517,,1.040174,,
16.01203,,1.122006,,
17.76685,,0.9704319,,
0.03705484,,0.0725238,,
0.07652742,,0.1476326,,
0.1059345,,0.2278377,,
0.1464332,,0.3030629,,
0.1930374,,0.4160829,,
0.4863289,,0.7211034,,
0.8361225,,0.8619265,,
1.209846,,0.8742651,,
0.04950756,,,0.04404298,
0.1641885,,,0.1567835,
0.2776696,,,0.2725337,
0.4871249,,,0.5040342,
0.7936216,,,0.7341553,
1.362559,,,0.8418191,
7.575704,,,0.980614,
13.02946,,,0.9433193,
20.27127,,,0.9731823,
0.09611064,,,0.09577676,
0.1492741,,,0.1373545,
0.1835912,,,0.18266,
0.2667884,,,0.2777132,
0.4868898,,,0.5200989,
0.7462797,,,0.753242,
1.256256,,,0.8609773,
0.07029545,,,,0.03023143
0.1310254,,,,0.07302583
0.1587656,,,,0.104248
0.1940736,,,,0.1407738
0.2296342,,,,0.1595616
0.4101914,,,,0.2991825
0.6053457,,,,0.4208185
0.7476372,,,,0.5702849
1.153781,,,,0.7967324
4.379507,,,,1.002732
9.663633,,,,0.9953237
15.87935,,,,0.9889109
0.0767186,,,,0.03009107
0.121939,,,,0.063657
0.1575858,,,,0.09595659
0.1881504,,,,0.123244
0.2200783,,,,0.1421965
0.4010341,,,,0.2858801
0.576927,,,,0.3985356
0.6908549,,,,0.5421144
1.225831,,,,0.7861081
