[egf],22k,57k,103k,150k,361k,485k
0.01114834,0.009711309,,,,,
0.0218301,0.009511757,,,,,
0.0431711,0.02571953,,,,,
0.08453541,0.04398151,,,,,
0.1255199,0.05001798,,,,,
0.1671768,0.06018928,,,,,
0.2608009,0.07031363,,,,,
0.4068573,0.1091559,,,,,
0.7217206,0.1746268,,,,,
1.050653,0.2545152,,,,,
1.809301,0.356918,,,,,
2.582362,0.4614277,,,,,
4.191,0.5966685,,,,,
8.045988,0.6990389,,,,,
12.30634,0.8219897,,,,,
0.02339369,,0.007439932,,,,
0.05418831,,0.02360075,,,,
0.1061087,,0.05006786,,,,
0.1470219,,0.07458641,,,,
0.2386066,,0.09495543,,,,
0.3949722,,0.1460878,,,,
0.7217206,,0.2341139,,,,
1.030091,,0.3242647,,,,
1.827269,,0.4389663,,,,
2.556968,,0.551687,,,,
4.068573,,0.6869337,,,,
8.206596,,0.8631356,,,,
12.42855,,0.904038,,,,
0.01863744,,,0.007507428,,,
0.03949722,,,0.02164337,,,
0.08045989,,,0.0542526,,,
0.263391,,,0.1441569,,,
0.4108979,,,0.2342812,,,
0.7434378,,,0.3141051,,,
1.030091,,,0.3858032,,,
1.809301,,,0.5230718,,,
2.63391,,,0.6788577,,,
4.108979,,,0.7218026,,,
8.288099,,,0.8241583,,,
12.30634,,,0.8650666,,,
0.01171304,,,,0.00354279,,
0.0330608,,,,0.01759363,,
0.07361271,,,,0.04607388,,
0.1137088,,,,0.07466271,,
0.154469,,,,0.09098199,,
0.2457865,,,,0.1400748,,
0.5056647,,,,0.2608863,,
0.7146235,,,,0.3407835,,
1.050653,,,,0.4268229,,
1.809301,,,,0.6174308,,
4.068573,,,,0.7423183,,
8.206596,,,,0.8118536,,
12.30634,,,,0.9655794,,
0.01997235,,,,,0.01569201,
0.03949722,,,,,0.03805363,
0.07888524,,,,,0.07682256,
0.1194685,,,,,0.1156737,
0.1591171,,,,,0.1545629,
0.2482274,,,,,0.2344309,
0.4028564,,,,,0.3204409,
0.7434378,,,,,0.4761564,
1.030091,,,,,0.5622134,
1.827269,,,,,0.7158894,
2.582362,,,,,0.7937354,
4.108979,,,,,0.8284692,
8.370411,,,,,0.9021041,
12.42855,,,,,0.9491662,
0.01575524,,,,,,0.01165988
0.02556968,,,,,,0.01356737
0.04491181,,,,,,0.03391292
0.08537495,,,,,,0.06244012
0.1242855,,,,,,0.09104655
0.1606973,,,,,,0.1381497
0.2457865,,,,,,0.2057159
0.3949722,,,,,,0.3389083
0.6869259,,,,,,0.4679748
0.9901663,,,,,,0.5909431
1.739175,,,,,,0.7712886
2.531824,,,,,,0.8101515
4.108979,,,,,,0.863341
8.288099,,,,,,0.8774917
12.30634,,,,,,0.9348102
